Date,Open,High,Low,Close,Volume
8/3/2023,128.37,129.77,127.78,128.77,15086130
8/2/2023,129.84,130.42,127.85,128.64,22705779
8/1/2023,130.86,132.92,130.75,131.89,22219010
7/31/2023,133.01,133.83,132.13,133.11,18381891
7/28/2023,130.97,134.07,130.92,133.01,26971010
7/27/2023,131.8,133.6,129.18,129.87,35931609
7/26/2023,130.36,131.37,128.71,129.66,46216898
7/25/2023,121.88,123.69,121.53,122.79,31820850
7/24/2023,121.93,123.35,121.38,121.88,22312221
7/21/2023,120.87,121.3,119.07,120.31,56514648
7/20/2023,122.12,124.7,118.69,119.53,27541711
7/19/2023,124.79,125.47,122.47,122.78,22313801
7/18/2023,124.91,124.99,123.3,124.08,21071250
7/17/2023,126.06,127.28,124.5,125.06,20675301
7/14/2023,125.13,127.09,124.9,125.7,20499779
7/13/2023,121.54,125.34,121.06,124.83,31535850
7/12/2023,119.3,120.96,119,119.62,22059609
7/11/2023,116.76,118.23,115.83,117.71,18286570
7/10/2023,119.07,119.07,116.64,116.87,32960078
7/7/2023,120.89,121.75,120.09,120.14,20997670
7/6/2023,120.64,121.15,119.25,120.93,17750180
7/5/2023,120.06,123.37,120.06,122.63,17830350
7/3/2023,120.32,121.02,119.71,120.56,13871720
6/30/2023,121.1,122.03,120.88,120.97,23871760
6/29/2023,120.09,120.91,119.21,120.01,18517461
6/28/2023,117.96,121.27,117.6,121.08,19753150
6/27/2023,117.84,119.9,116.91,119.01,27221711
6/26/2023,121.47,122.72,118.99,119.09,23184961
6/23/2023,122.04,123.44,121.86,123.02,29573119
6/22/2023,120.66,123.94,119.6,123.87,20781891
6/21/2023,123.24,123.41,120.86,121.26,22612000
6/20/2023,123.54,125.18,122.83,123.85,22698029
6/16/2023,126.7,126.7,123.79,124.06,56699199
6/15/2023,123.88,126.16,123.14,125.79,24517070
6/14/2023,123.8,124.79,122.16,124.38,24659619
6/13/2023,125.65,125.86,123.85,124.43,19287650
6/12/2023,123.4,124.75,122.35,124.35,22289631
6/9/2023,122.56,124.29,122.42,122.87,20313680
6/8/2023,122.59,123.73,122.01,122.67,24815000
6/7/2023,127.58,129.55,122.63,122.94,34179352
6/6/2023,126.6,128.88,125.97,127.91,19450131
6/5/2023,124.61,127.99,124.38,126.63,22672520
6/2/2023,124.49,126.75,124.35,125.23,19367449
6/1/2023,123.5,125.04,123.3,124.37,25017670
5/31/2023,123.7,124.9,123.1,123.37,41548762
5/30/2023,126.29,126.38,122.89,124.64,27230730
5/26/2023,124.07,126,123.29,125.43,25169039
5/25/2023,125.21,125.98,122.9,124.35,33812727
5/24/2023,121.88,122.75,120.75,121.64,23087930
5/23/2023,124.93,125.42,123.05,123.29,24477949
5/22/2023,123.51,127.05,123.45,125.87,29760240
5/19/2023,124.2,126.48,122.72,123.25,30268859
5/18/2023,121.56,123.9,121.49,123.52,27014471
5/17/2023,120.18,122.28,119.46,121.48,26659561
5/16/2023,116.83,121.2,116.83,120.09,32370109
5/15/2023,116.49,118.8,116.48,116.96,22107869
5/12/2023,117,118.26,116.55,117.92,31293779
5/11/2023,115.86,118.44,114.93,116.9,57115078
5/10/2023,108.55,113.51,108.48,112.28,47533461
5/9/2023,108.78,110.6,107.73,107.94,24782439
5/8/2023,105.8,108.42,105.79,108.24,17266020
5/5/2023,105.32,106.44,104.74,106.22,20710631
